subborough,2011,2012,2013,2014,2015
High Bridge and Morrisania,0.0,0.0,0.0,0.15384615384615385,0.4444444444444444
Southeast Bronx,0,0.0,0.0,0.0,0.0
Flatbush,0,0,0,0.0,0.0
Sunset Park,0.4,0.0,0.21739130434782608,0.0,0.0
Southwest Brooklyn,0,0.0,0.0,0.0,0.0
Gramercy Park and Murray Hill,0.4,0.3333333333333333,0.3,0.42857142857142855,0.047619047619047616
Borough Park,0.0,0.0,0.05263157894736842,0.25,0.25
North Queens,0,0.0,0,0.26666666666666666,0.2
Port Richmond,0,0,0.0,0.0,0.0
Jamaica,0,0,0.0,0.3333333333333333,0.0
Southwest Queens,0.0,0.0,0.0,0.06666666666666667,0.0
Central Harlem,0.0,0.11764705882352941,0.0,0.03571428571428571,0.1282051282051282
Greenwich Village and Soho,0.6666666666666666,0.04081632653061224,0.0,0.0,0.0
Northeast Bronx,0,0,0,0.0,0.0
West Central Queens,0.0,0.0,0.0,0.0,0.0
Stapleton and St. George,0,0.2727272727272727,0.2,0.14285714285714285,0.2222222222222222
Southern Brooklyn,0,0.0,0,0.08333333333333333,0.0
Upper East Side,0.38095238095238093,0.0,0.0,0.0,0.0
West Queens,0,0.0,0.0,0.0,0.0
Central Brooklyn,0,0,0.1875,0.2222222222222222,0
Chelsea and Clinton,0.29411764705882354,0.4166666666666667,0.2,0.18518518518518517,0.4
Northeast Queens,0.0,0.0,0.0,0.0,0.0
Upper West Side,0.21739130434782608,0.2222222222222222,0.3,0.36363636363636365,0.09523809523809523
Lower East Side,0.0,0.0,0.3125,0.5384615384615384,0.5714285714285714
East Harlem,1.0,0.0,0.0,0.0,0.30303030303030304
Inwood and Washington Heights,0.0,1.0,0.08823529411764706,0.15789473684210525,0.0
South Shore,0.0,0.0,0.0,0.0,0.0
Southeast Queens,0.0,0.0,0.0,0.0,0.0
Lower Manhattan,0.0,0.0,0.4,0.3,0.0
Kingsbridge and Riverdale,0.2,0.0,0,0,0.0
Greenpoint,0.0,0,0,0.0,0.0
Bushwick and Williamsburg,0,0.0,0.0,0.0,0.35714285714285715
Mid-Island,0,0.0,0.0,0.08333333333333333,0.0
Rockaways,0,0,0,0,0.0
Northwest Queens,0.0,0.0,0.0,0.0,0.06666666666666667
Central Queens,0.25,0.6666666666666666,0.2857142857142857,0.14634146341463414,0.09523809523809523
Bronx Park and Fordham,0.0,0.0,0.2857142857142857,0.25,0.5454545454545454
Canarsie and Flatlands,0,0,0.0,0.0,0.18181818181818182
Hunts Point and Mott Haven,0,0,0,0.0,0.0
Central Bronx,0,0,0.0,0,0.6428571428571429
East New York and New Lots,0,0,0,0,0
Northwest Brooklyn,0,0.0,0.46153846153846156,0.6666666666666666,0.1935483870967742
